UnitID,Institution.Name,Name.Abv,ACT 25%,ACT 75%,Check ,ACT
221759,University of Tennessee-Knoxville,UT-Knoxville (2017 Final),24,30,Checked,27
100751,University of Alabama,Alabama,23,32,Checked,27.5
106397,University of Arkansas,Arkansas,23,29,Checked,26
100858,Auburn University,Auburn,24,30,Checked,27
219602,Austin Peay State University,Austin Peay St,19,24,Checked,21.5
217882,Clemson University,Clemson ,27,31,Checked,29
220075,East Tennessee State University,East Tennessee State U.,19,26,Checked,22.5
134130,University of Florida,Florida,28,32,Checked,30
139959,University of Georgia,Georgia,26,31,Checked,28.5
153603,Iowa State University,Iowa St,22,28,Checked,25
157085,University of Kentucky,Kentucky,22,28,Checked,25
159391,Louisiana State University and Agricultural & Mechanical College,LSU,23,28,Checked,25.5
220862,University of Memphis,Memphis,19,25,Checked,22
220978,Middle Tennessee State University,Middle Tennessee St,20,25,Checked,22.5
176080,Mississippi State University,Miss State,21,28,Checked,24.5
178396,University of Missouri-Columbia,Missouri,23,29,Checked,26
199193,North Carolina State University at Raleigh,NC State,26,31,Checked,28.5
181464,University of Nebraska-Lincoln,Neb-Lincoln,22,29,Checked,25.5
176017,University of Mississippi,Ole Miss,22,29,Checked,25.5
218663,University of South Carolina-Columbia,South Carolina,25,30,Checked,27.5
221838,Tennessee State University,Tennessee State U.,NA,NA,Checked,NA
221847,Tennessee Technological University,Tennessee Technological U.,21,28,Checked,24.5
228723,Texas A & M University-College Station,Texas A & M ,25,30,Checked,27.5
221740,University of Tennessee-Chattanooga,UT-Chattanooga,21,26,Checked,23.5
221768,University of Tennessee-Martin,UT-Martin,20,25,Checked,22.5
233921,Virginia Polytechnic Institute and State University,Va. Tech,25,30,Checked,27.5
221999,Vanderbilt University,Vanderbilt ,32,35,Checked,33.5
171100,Michigan State University,Michigan State,23,28,Checked,25.5
174066,University of Minnesota-Twin Cities,UMinn,26,31,Checked,28.5
240444,University of Wisconsin-Madison,UWM,27,31,Checked,29
243780,Purdue University-Main Campus,Purdue,25,31,Checked,28
