"UnitID","Institution Name","ACT_25th_2016","ACT_75th_2016","ACT_25th_2015","ACT_75th_2015","ACT_25th_2014","ACT_75th_2014","ACT_25th_2013","ACT_75th_2013","ACT_25th_2012","ACT_75th_2012","ACT_25th_2011","ACT_75th_2011","ACT_25th_2010","ACT_75th_2010","ACT_MidRange_2016","ACT_MidRange_2015","ACT_MidRange_2014","ACT_MidRange_2013","ACT_MidRange_2012","ACT_MidRange_2011","ACT_MidRange_2010"
104151,"Arizona State University-Tempe",22,28,23,28,22,28,22,28,21,27,21,27,20,26,25,25.5,25,25,24,24,23
100858,"Auburn University",24,30,24,30,24,30,24,30,24,30,24,30,24,30,27,27,27,27,27,27,27
219602,"Austin Peay State University",19,24,19,24,19,24,19,24,19,23,19,23,19,23,21.5,21.5,21.5,21.5,21,21,21
217882,"Clemson University",26,31,27,31,26,31,26,31,25,30,26,30,25,30,28.5,29,28.5,28.5,27.5,28,27.5
126818,"Colorado State University-Fort Collins",23,28,22,28,22,27,22,27,22,27,22,27,22,27,25.5,25,24.5,24.5,24.5,24.5,24.5
220075,"East Tennessee State University",20,26,20,26,19,25,19,25,19,25,19,24,19,24,23,23,22,22,22,21.5,21.5
134097,"Florida State University",25,29,25,29,26,29,25,29,25,29,25,28,24,28,27,27,27.5,27,27,26.5,26
139755,"Georgia Institute of Technology-Main Campus",30,34,30,33,30,33,28,32,28,32,27,32,27,31,32,31.5,31.5,30,30,29.5,29
151351,"Indiana University-Bloomington",24,30,24,30,24,30,24,30,24,29,24,29,24,29,27,27,27,27,26.5,26.5,26.5
153603,"Iowa State University",22,28,22,28,21,29,22,28,22,28,22,28,22,28,25,25,25,25,25,25,25
159391,"Louisiana State University and Agricultural & Mechanical College",23,28,23,28,23,28,23,28,23,28,23,28,23,28,25.5,25.5,25.5,25.5,25.5,25.5,25.5
171100,"Michigan State University",24,29,23,28,23,28,23,28,23,28,23,28,23,28,26.5,25.5,25.5,25.5,25.5,25.5,25.5
220978,"Middle Tennessee State University",19,25,19,25,19,25,19,24,19,24,19,24,20,24,22,22,22,21.5,21.5,21.5,22
176080,"Mississippi State University",21,28,21,29,21,28,20,28,20,27,20,27,20,26,24.5,25,24.5,24,23.5,23.5,23
199193,"North Carolina State University at Raleigh",26,31,26,31,26,30,25,30,23,28,23,28,23,28,28.5,28.5,28,27.5,25.5,25.5,25.5
204796,"Ohio State University-Main Campus",27,31,27,31,27,31,27,31,26,30,26,30,26,30,29,29,29,29,28,28,28
214777,"Pennsylvania State University-Main Campus",25,29,25,29,25,29,25,29,25,29,25,29,25,29,27,27,27,27,27,27,27
