"UnitID","Institution.Name","ug_2016_grand_total","ug_2016_ai_an","ug_2016_asian","ug_2016_black","ug_2016_hispanic","ug_2016_nh_pi","ug_2016_white","ug_2016_two_m_races","ug_2016_unknown","ug_2016_non_resid","ftf_2016_grand_total","ftf_2016_ai_an","ftf_2016_asian","ftf_2016_black","ftf_2016_hispanic","ftf_2016_nh_pi","ftf_2016_white","ftf_2016_two_m_races","ftf_2016_unknown","ftf_2016_non_resid","trans_2016_grand_total","trans_2016_ai_an","trans_2016_asian","trans_2016_black","trans_2016_hispanic","trans_2016_nh_pi","trans_2016_white","trans_2016_two_m_races","trans_2016_unknown","trans_2016_non_resid","ug_2015_grand_total","ug_2015_ai_an","ug_2015_asian","ug_2015_black","ug_2015_hispanic","ug_2015_nh_pi","ug_2015_white","ug_2015_two_m_races","ug_2015_unknown","ug_2015_non_resid","ftf_2015_grand_total","ftf_2015_ai_an","ftf_2015_asian","ftf_2015_black","ftf_2015_hispanic","ftf_2015_nh_pi","ftf_2015_white","ftf_2015_two_m_races","ftf_2015_unknown","ftf_2015_non_resid","trans_2015_grand_total","trans_2015_ai_an","trans_2015_asian","trans_2015_black","trans_2015_hispanic","trans_2015_nh_pi","trans_2015_white","trans_2015_two_m_races","trans_2015_unknown","trans_2015_non_resid","ug_2014_grand_total","ug_2014_ai_an","ug_2014_asian","ug_2014_black","ug_2014_hispanic","ug_2014_nh_pi","ug_2014_white","ug_2014_two_m_races","ug_2014_unknown","ug_2014_non_resid","ftf_2014_grand_total","ftf_2014_ai_an","ftf_2014_asian","ftf_2014_black","ftf_2014_hispanic","ftf_2014_nh_pi","ftf_2014_white","ftf_2014_two_m_races","ftf_2014_unknown","ftf_2014_non_resid","trans_2014_grand_total","trans_2014_ai_an","trans_2014_asian","trans_2014_black","trans_2014_hispanic","trans_2014_nh_pi","trans_2014_white","trans_2014_two_m_races","trans_2014_unknown","trans_2014_non_resid","ug_2013_grand_total","ug_2013_ai_an","ug_2013_asian","ug_2013_black","ug_2013_hispanic","ug_2013_nh_pi","ug_2013_white","ug_2013_two_m_races","ug_2013_unknown","ug_2013_non_resid","ftf_2013_grand_total","ftf_2013_ai_an","ftf_2013_asian","ftf_2013_black","ftf_2013_hispanic","ftf_2013_nh_pi","ftf_2013_white","ftf_2013_two_m_races","ftf_2013_unknown","ftf_2013_non_resid","trans_2013_grand_total","trans_2013_ai_an","trans_2013_asian","trans_2013_black","trans_2013_hispanic","trans_2013_nh_pi","trans_2013_white","trans_2013_two_m_races","trans_2013_unknown","trans_2013_non_resid","ug_2012_grand_total","ug_2012_ai_an","ug_2012_asian","ug_2012_black","ug_2012_hispanic","ug_2012_nh_pi","ug_2012_white","ug_2012_two_m_races","ug_2012_unknown","ug_2012_non_resid","ftf_2012_grand_total","ftf_2012_ai_an","ftf_2012_asian","ftf_2012_black","ftf_2012_hispanic","ftf_2012_nh_pi","ftf_2012_white","ftf_2012_two_m_races","ftf_2012_unknown","ftf_2012_non_resid","trans_2012_grand_total","trans_2012_ai_an","trans_2012_asian","trans_2012_black","trans_2012_hispanic","trans_2012_nh_pi","trans_2012_white","trans_2012_two_m_races","trans_2012_unknown","trans_2012_non_resid","ug_2011_grand_total","ug_2011_ai_an","ug_2011_asian","ug_2011_black","ug_2011_hispanic","ug_2011_nh_pi","ug_2011_white","ug_2011_two_m_races","ug_2011_unknown","ug_2011_non_resid","ftf_2011_grand_total","ftf_2011_ai_an","ftf_2011_asian","ftf_2011_black","ftf_2011_hispanic","ftf_2011_nh_pi","ftf_2011_white","ftf_2011_two_m_races","ftf_2011_unknown","ftf_2011_non_resid","trans_2011_grand_total","trans_2011_ai_an","trans_2011_asian","trans_2011_black","trans_2011_hispanic","trans_2011_nh_pi","trans_2011_white","trans_2011_two_m_races","trans_2011_unknown","trans_2011_non_resid","ug_2010_grand_total","ug_2010_ai_an","ug_2010_asian","ug_2010_black","ug_2010_hispanic","ug_2010_nh_pi","ug_2010_white","ug_2010_two_m_races","ug_2010_unknown","ug_2010_non_resid","ftf_2010_grand_total","ftf_2010_ai_an","ftf_2010_asian","ftf_2010_black","ftf_2010_hispanic","ftf_2010_nh_pi","ftf_2010_white","ftf_2010_two_m_races","ftf_2010_unknown","ftf_2010_non_resid","trans_2010_grand_total","trans_2010_ai_an","trans_2010_asian","trans_2010_black","trans_2010_hispanic","trans_2010_nh_pi","trans_2010_white","trans_2010_two_m_races","trans_2010_unknown","trans_2010_non_resid","urm_percent_ug_2016","minority_percent_ug_2016","urm_percent_ug_2015","minority_percent_ug_2015","urm_percent_ug_2014","minority_percent_ug_2014","urm_percent_ug_2013","minority_percent_ug_2013","urm_percent_ug_2012","minority_percent_ug_2012","urm_percent_ug_2011","minority_percent_ug_2011","urm_percent_ug_2010","minority_percent_ug_2010","urm_percent_ftf_2016","minority_percent_ftf_2016","urm_percent_ftf_2015","minority_percent_ftf_2015","urm_percent_ftf_2014","minority_percent_ftf_2014","urm_percent_ftf_2013","minority_percent_ftf_2013","urm_percent_ftf_2012","minority_percent_ftf_2012","urm_percent_ftf_2011","minority_percent_ftf_2011","urm_percent_ftf_2010","minority_percent_ftf_2010","urm_percent_trans_2016","minority_percent_trans_2016","urm_percent_trans_2015","minority_percent_trans_2015","urm_percent_trans_2014","minority_percent_trans_2014","urm_percent_trans_2013","minority_percent_trans_2013","urm_percent_trans_2012","minority_percent_trans_2012","urm_percent_trans_2011","minority_percent_trans_2011","urm_percent_trans_2010","minority_percent_trans_2010"
104151,"Arizona State University-Tempe",42477,472,3003,1624,8281,98,21495,1697,280,5527,8230,65,682,296,1751,21,4223,361,8,823,3256,50,149,164,705,5,1754,119,4,306,41828,511,2863,1582,7809,94,21653,1673,379,5264,8348,79,614,262,1600,22,4188,384,97,1102,3369,63,143,158,677,11,1888,129,16,284,39961,524,2710,1563,7404,93,21531,1580,330,4226,7647,63,560,254,1495,17,3865,338,146,909,3417,72,159,184,737,9,1883,131,26,216,38730,524,2613,1538,7145,97,22214,1450,256,2893,7171,58,560,238,1384,9,3741,337,39,805,3354,56,145,159,694,10,1956,130,16,188,59382,1004,3460,3006,11480,151,35502,1770,690,2319,9265,91,615,433,1983,31,5120,426,30,536,7228,133,305,424,1411,23,4385,232,51,264,58404,1096,3355,3029,10921,111,35633,1268,1112,1879,9254,132,562,423,1870,27,5407,405,38,390,6776,170,262,398,1309,21,4199,192,33,192,56562,1141,3263,2942,10075,76,35095,713,1725,1532,9544,169,539,502,2096,27,5477,411,38,285,6158,109,233,341,1170,19,3904,152,40,190,23.3185017774325,49.3961437954658,22.4514679162284,48.233240891269,22.4393783939341,46.1199669677936,22.4193131939065,42.6439452620708,24.3945976895355,40.214206325149,23.8853503184713,38.9887678926101,23.013684098865,37.9530426788303,24.8724179829891,48.6877278250304,22.3047436511739,49.8322951605175,22.8717143978031,49.4573035177194,22.6188816064705,47.8315437177521,26.0766324878575,44.738262277388,24.7784741733305,41.5712124486708,27.2212908633697,42.6131601005868,26.6891891891892,46.1302211302211,24.7848026120511,43.9596319382606,26.9534679543459,44.8931811530582,25.4323196183661,41.6815742397138,25.3873824017709,39.333148865523,25.1918536009445,38.0312868949233,24.537187398506,36.6027931146476
100858,"Auburn University",22658,114,556,1488,740,7,18309,283,131,1030,4529,7,108,255,163,4,3785,131,5,71,1226,8,23,122,42,1,962,38,3,27,21786,135,538,1446,696,3,18149,122,183,514,4899,25,133,275,187,1,4154,35,36,53,1250,15,29,118,35,0,989,5,11,48,20629,151,466,1446,509,0,17455,0,288,314,4592,29,124,303,133,0,3917,0,52,34,1270,13,29,119,27,0,1018,0,20,44,19799,152,421,1413,499,0,16883,0,252,179,3726,33,98,234,90,0,3210,0,37,24,1052,12,19,95,26,0,867,0,11,22,20175,145,396,1446,569,0,17197,0,271,151,3762,18,92,235,112,0,3178,0,102,25,1016,15,20,64,29,0,862,0,15,11,20446,141,375,1520,580,0,17483,0,212,135,4202,30,68,268,161,0,3610,0,50,15,1246,16,16,90,28,0,1075,0,12,9,20221,143,379,1583,510,0,17252,0,218,136,4099,35,85,272,168,0,3467,0,53,19,1077,9,17,69,18,0,928,0,18,18,9.83317150675258,19.1941036278577,9.83200220324979,16.6942072890847,9.47694992486306,15.3861069368365,9.65705338653467,14.7280165664933,9.98760842627014,14.7608426270136,10.270957644527,14.4918321432065,10.3506255872608,14.6827555511597,9.22941046588651,16.4274674321042,9.43049601959584,15.2071851398245,9.49477351916376,14.6994773519164,8.69565217391304,13.8486312399356,9.22381711855396,15.5236576289208,10.2094240837696,14.0885292717753,10.7343254452305,15.4183947304221,13.3768352365416,21.5334420880914,12.24,20.88,11.496062992126,19.8425196850394,11.5019011406844,17.5855513307985,9.15354330708661,15.1574803149606,9.47030497592295,13.7239165329053,8.07799442896936,13.8347260909935
219602,"Austin Peay State University",9513,34,148,1990,612,27,5851,565,246,40,1963,9,24,491,106,1,1145,160,27,0,913,2,16,194,79,7,533,42,37,3,9184,37,161,1805,573,22,5792,521,233,40,1555,6,15,348,95,1,941,112,32,5,878,7,19,162,67,5,528,46,43,1,9246,35,147,1806,542,19,5967,481,209,40,1494,6,20,306,70,3,960,98,26,5,823,6,7,163,59,5,512,45,24,2,9550,38,140,1802,527,23,6299,443,235,43,1582,3,16,334,71,1,1046,72,33,6,899,8,14,161,69,1,572,32,38,4,9735,50,167,1874,520,29,6407,418,229,41,1522,7,19,305,54,5,1018,77,34,3,879,4,17,170,51,2,575,31,28,1,10020,60,165,1918,561,37,6563,404,264,48,1551,5,19,301,67,3,1043,63,44,6,967,7,20,193,48,1,620,27,48,3,9835,56,165,1881,570,47,6407,431,225,53,1718,13,28,332,49,5,1115,86,77,13,896,4,17,184,39,4,544,21,77,6,27.3520445705876,38.4946914748239,25.8928571428571,36.9337979094077,25.3947653039152,35.4639844256976,24.3874345549738,34.0418848167539,24.5916795069337,34.185927067283,24.7405189620758,34.500998003992,24.9211997966446,34.8551093035079,30.412633723892,41.6709118695874,28.4887459807074,39.4855305466238,25.1673360107095,35.7429718875502,25.6005056890013,33.8811630847029,23.5873850197109,33.1143232588699,23.7266279819471,32.7530625402966,22.1769499417928,35.0989522700815,29.9014238773275,41.6210295728368,26.0820045558087,39.8633257403189,26.9744835965978,37.7885783718105,25.5839822024472,36.3737486095662,25.1422070534698,34.584755403868,24.9224405377456,35.8841778697001,24.8883928571429,39.2857142857143
217882,"Clemson University",18599,38,454,1265,649,6,15427,516,86,158,3684,5,96,282,140,0,3009,131,4,17,1426,1,25,73,68,0,1201,37,6,15,18016,30,409,1191,574,10,14980,464,177,181,3447,6,102,272,109,1,2823,110,6,18,1357,5,22,67,61,0,1141,37,3,21,17260,33,335,1116,510,12,14371,394,306,183,3475,7,80,245,106,1,2917,92,8,19,1293,5,30,66,64,3,1065,26,5,29,16931,26,301,1057,439,16,14105,355,445,187,3289,5,64,194,89,0,2825,75,12,25,1144,2,26,61,41,1,938,22,32,21,16562,28,306,1059,432,18,13967,319,240,193,3463,2,69,225,85,1,2951,82,35,13,1158,2,12,72,55,0,959,21,9,28,15836,36,292,1023,363,18,13320,241,370,173,2933,5,59,238,77,4,2442,69,20,19,1149,3,23,53,35,3,988,19,4,21,15459,36,270,1006,304,13,12981,162,545,142,3016,3,49,194,72,7,2601,50,24,16,1065,2,19,48,38,2,905,21,7,23,10.2908758535405,17.0546803591591,9.79684724689165,16.8516873889876,9.42062572421784,16.7381228273465,8.83586320949737,16.6912763569783,9.00253592561285,15.6683975365294,8.75221015407931,15.8878504672897,8.47402807426095,16.0294973801669,11.4549402823018,18.3224755700326,11.053089643168,18.1026979982594,10.1007194244604,16.0575539568345,8.60443903922165,14.1076314989358,8.95177591683511,14.7848686110309,10.7398568019093,16.7405386975793,8.81962864721485,13.7599469496021,9.88779803646564,15.7784011220196,9.43257184966839,15.9174649963154,10.0541376643465,17.6334106728538,8.91608391608392,18.006993006993,10.9671848013817,17.1848013816926,7.65883376849434,14.0121845082681,8.07511737089202,15.0234741784038
126818,"Colorado State University-Fort Collins",25177,114,648,600,2982,34,18330,859,657,953,4942,20,142,146,742,9,3545,207,46,85,1651,7,32,27,201,1,1141,63,24,155,23917,159,611,570,2611,41,17506,488,1007,924,4757,35,176,134,606,17,3529,8,149,103,1671,15,25,25,158,3,1010,25,239,171,23598,125,530,540,2422,27,17468,683,918,885,4362,40,143,125,534,9,3304,66,60,81,1411,25,36,30,126,5,1030,6,19,134,23548,77,454,495,2216,23,17562,805,1219,697,4435,16,104,89,534,1,3273,177,178,63,1426,5,30,24,123,0,1018,39,63,124,23252,92,401,492,2068,36,17563,740,1317,543,4544,17,81,102,490,4,3335,201,244,70,1409,5,18,14,138,2,989,44,103,96,23075,89,444,476,1845,38,17792,660,1237,494,4497,18,81,126,482,6,3338,162,237,47,1565,6,28,13,118,4,1141,47,110,98,22831,92,469,432,1687,42,17920,593,1141,455,4480,15,86,113,386,9,3437,140,229,65,1406,5,18,19,105,1,1064,36,108,50,14.2272709218731,27.1954561703142,13.3001630639294,26.8052013212359,12.5519111789135,25.9767776930248,11.512655002548,25.4204178698828,11.0098056081197,24.4667125408567,10.0585048754063,22.8949079089924,9.28124041872892,21.5102273225001,17.9684338324565,28.2679077296641,15.5560227033845,25.8145890266975,15.1077487391105,24.2549289316827,14.0473506200676,26.2006764374295,13.0281690140845,26.606514084507,13.5201245274628,25.7727373804759,11.1383928571429,23.28125,13.8098122350091,30.8903694730466,10.951526032316,39.5571514063435,11.0559886605245,27.0021261516655,10.3085553997195,28.6115007012623,10.7877927608233,29.8083747338538,8.37060702875399,27.0926517571885,8.81934566145092,24.3243243243243
220075,"East Tennessee State University",11065,21,150,686,245,10,9064,290,137,462,1886,4,27,170,43,1,1548,45,17,31,1027,1,12,45,12,2,834,28,22,71,11392,26,159,756,254,8,9306,307,143,433,1999,5,31,190,60,1,1565,73,24,50,950,2,5,52,11,0,768,25,15,72,11550,29,156,725,246,8,9621,288,127,350,2055,4,25,192,62,1,1647,63,28,33,1057,0,12,45,17,1,872,31,32,47,11820,41,150,691,236,10,9988,286,87,331,1881,4,28,148,41,2,1536,62,27,33,1132,5,9,45,12,1,958,25,27,50,12267,46,149,766,256,12,10436,286,61,255,2082,6,20,173,49,1,1707,73,26,27,1189,7,13,68,11,1,993,37,7,52,12539,52,176,736,232,16,10634,240,262,191,2140,5,19,172,20,3,1644,42,210,25,1253,7,24,83,12,0,1061,18,9,39,12175,49,183,648,288,15,10520,244,54,174,2099,11,23,198,46,3,1741,31,32,14,1111,5,9,54,13,2,969,11,3,45,8.4139177586986,18.0840488025305,8.86587078651685,18.311095505618,8.40692640692641,16.7012987012987,7.84263959390863,15.4991539763113,8.33129534523518,14.926224830847,7.71991386872956,15.1925990908366,7.68788501026694,13.5934291581109,11.2937433722163,17.9215270413574,12.5062531265633,21.7108554277139,12.360097323601,19.8540145985401,10.0478468899522,18.341307814992,10.6628242074928,18.0115273775216,8.97196261682243,23.1775700934579,11.6245831348261,17.0557408289662,5.55014605647517,18.792599805258,6.63157894736842,19.1578947368421,5.86565752128666,17.5023651844844,5.03533568904594,15.3710247349823,6.64423885618167,16.484440706476,7.58180367118914,15.3232242617718,6.03060306030603,12.7812781278128
134097,"Florida State University",32933,83,783,2741,6526,47,20537,1091,497,628,6190,16,142,527,1305,3,3822,216,110,49,2207,9,35,220,432,3,1348,86,33,41,32706,70,783,2611,6205,48,20916,1019,465,589,6096,17,149,444,1275,13,3860,194,102,42,2119,4,38,242,433,3,1288,72,16,23,32948,90,808,2669,5872,52,21522,942,434,559,5994,14,157,413,1109,6,3936,220,101,38,2280,4,46,247,403,8,1453,72,25,22,32528,122,820,2769,5497,60,21577,740,457,486,6032,12,160,407,1197,7,3996,173,67,13,2348,6,35,264,421,7,1477,81,47,10,32171,102,858,2843,5031,10,21684,760,476,407,5712,9,124,406,1016,6,3903,154,66,28,2337,5,53,237,360,4,1545,80,33,20,32201,130,906,3026,4792,0,21773,632,464,478,6121,13,161,428,1060,0,4182,169,82,26,2502,5,51,271,360,0,1663,87,40,25,31418,301,1087,3304,4294,0,21679,0,446,307,5927,68,178,570,947,0,4043,0,109,12,2461,34,66,311,316,0,1678,0,35,21,28.1389487747852,37.640057085598,26.955298721947,36.0484314804623,25.9226660191817,34.67888794464,25.4119527791441,33.6663797343827,24.475459264555,32.5976811414006,24.2787491071706,32.3840874507003,24.1835890253995,30.9981539245019,29.5961227786753,38.2552504038772,28.1988188976378,36.6797900262467,25.3920587253921,34.3343343343343,26.5915119363395,33.7533156498674,24.8949579831933,31.6701680672269,24.309753308283,31.677830419866,25.5947359541083,31.786738653619,29.5423652016312,38.9216130493883,31.8546484190656,39.2166116092496,28.5087719298246,36.2719298245614,29.1737649063032,37.0954003407155,25.5455712451861,33.8896020539153,25.2198241406875,33.533173461231,25.477448191792,31.8163348232426
139755,"Georgia Institute of Technology-Main Campus",15489,5,3093,1040,1028,6,7634,560,521,1602,2877,1,578,184,182,0,1418,99,167,248,592,0,103,54,51,0,302,19,1,62,15142,8,2999,997,988,8,7614,553,349,1626,3089,2,635,200,191,0,1500,112,205,244,482,0,72,49,36,0,226,13,0,86,14682,9,2838,935,935,12,7676,524,167,1586,2809,1,584,150,185,1,1415,113,109,251,499,0,67,44,37,0,242,12,0,97,14558,18,2603,918,937,13,7976,476,73,1544,2673,2,510,157,135,4,1433,102,11,319,501,0,87,45,38,2,225,16,0,88,14527,17,2590,935,894,13,8216,412,75,1375,3044,1,537,156,208,1,1593,117,12,419,595,0,83,50,41,0,303,13,1,104,13948,21,2379,913,803,13,8295,359,84,1081,2695,2,445,167,160,2,1577,88,18,236,692,1,101,71,58,0,376,23,5,57,13750,21,2334,855,740,12,8389,341,86,972,2712,6,443,146,167,3,1628,87,13,219,508,1,54,50,39,0,297,15,3,49,13.3514106785461,50.713409516431,13.1092325980716,49.7160216616035,12.7366843754257,47.7182945102847,12.7421349086413,45.2122544305536,12.5903490053005,43.443243615337,12.3028391167192,40.5291081158589,11.6,38.9890909090909,12.7215849843587,50.7125477928398,12.6578180640984,51.4405956620265,11.9259522961908,49.626201495194,10.9240553684998,46.3898241676019,11.957950065703,47.6675427069645,12.1335807050093,41.4842300556586,11.5412979351032,39.9705014749263,17.7364864864865,48.9864864864865,17.6348547717842,53.1120331950208,16.2324649298597,51.503006012024,16.5668662674651,55.0898203592814,15.2941176470588,49.0756302521008,18.6416184971098,45.6647398843931,17.5196850393701,41.5354330708661
151351,"Indiana University-Bloomington",39184,44,1913,1661,2121,14,27751,1392,640,3648,7673,6,439,350,495,1,5364,334,13,671,898,1,36,55,43,1,534,35,5,188,38364,47,1588,1508,1820,16,25886,1266,2496,3737,7875,6,383,377,497,1,5577,304,24,706,899,2,18,48,40,0,504,37,5,245,36419,39,1512,1413,1672,21,26523,1220,228,3791,7718,8,377,336,405,3,5539,290,28,732,912,1,24,47,48,0,548,36,2,206,36862,45,1375,1496,1594,26,27206,1151,263,3706,7604,8,324,313,369,6,5659,269,52,604,951,1,28,41,47,1,600,37,8,188,32371,46,1213,1348,1307,28,23889,823,199,3518,7613,11,291,319,344,5,5652,259,37,695,943,3,30,40,31,0,664,23,10,142,32543,49,1250,1382,1225,25,24608,650,222,3132,7424,9,316,293,335,5,5468,217,27,754,966,3,29,33,39,1,635,17,11,198,32367,62,1259,1442,1087,23,25097,492,313,2592,7020,3,254,342,319,2,5192,220,48,640,1001,2,29,40,30,1,661,23,5,210,9.65189873417722,29.1777256022867,8.67479929100198,32.5252841205297,8.47085312611549,27.1726296713254,8.3826162443709,26.1949975584613,8.20178554879367,26.2024651694418,8.01093937252251,24.3831238668838,7.81351376401891,22.4611487008373,11.0126417307442,30.0925322559625,11.0984126984127,29.1809523809524,9.60093288416688,28.232702772739,8.96896370331405,25.5786428195687,8.70878760015762,25.7585708656246,8.45905172413793,26.3469827586207,9.41595441595442,26.039886039886,10.913140311804,40.5345211581292,9.78865406006674,43.9377085650723,10.4166666666667,39.9122807017544,9.2534174553102,36.9085173501577,7.52916224814422,29.5864262990456,7.45341614906832,34.2650103519669,6.99300699300699,33.966033966034
153603,"Iowa State University",30671,58,966,801,1542,24,22732,702,1642,2204,6325,9,227,164,378,4,4704,164,341,334,1871,2,54,64,118,0,1327,41,109,156,30034,73,875,802,1393,28,22584,655,1486,2138,6231,17,216,168,322,8,4710,157,357,276,1949,2,43,71,93,0,1447,33,109,151,28893,66,816,739,1291,26,21910,624,1219,2202,6041,15,191,167,269,4,4610,156,337,292,1960,4,46,70,88,2,1453,42,108,147,27659,59,759,693,1181,27,21197,533,1038,2172,6089,13,169,151,299,6,4660,144,286,361,2042,9,48,67,88,2,1518,37,126,147,25553,54,705,659,987,24,19908,416,811,1989,5366,14,157,139,262,6,4276,122,140,250,1841,5,39,57,49,4,1452,42,61,132,24343,47,657,637,882,14,19105,307,800,1894,5048,9,140,145,252,3,4034,118,116,231,1781,5,38,61,83,1,1359,18,78,138,23104,51,649,572,729,13,18295,214,806,1775,4552,8,107,129,171,6,3649,80,119,283,1673,5,44,50,45,2,1265,27,78,157,7.63913794789867,25.8843859019921,7.30838383165745,24.8052207498169,7.02592323400131,24.1684837157789,6.77537148848476,23.3631006182436,6.44151371658905,22.0913395687395,6.23998685453724,21.5174793575155,5.6310595567867,20.8145775623269,8.56916996047431,25.6284584980237,7.86390627507623,24.4102070293693,7.21734812117199,23.6881311041218,7.39037608802759,23.4685498439809,7.47297800969065,20.3130823704808,7.86450079239303,20.0871632329635,6.59050966608084,19.8374340949033,9.72741849278461,29.0753607696419,8.41457157516675,25.7567983581324,8.06122448979592,25.8673469387755,7.59059745347698,25.6611165523996,5.75774035850081,21.1298207495926,8.08534531162268,23.6945536215609,5.67842199641363,24.3873281530185
