"UnitID","Institution.Name","Name.Abv","instate_tf_cost_2016","instate_coa_2016","oostate_tf_cost_2016","oostate_coa_2016","ug_2016_grand_total","ftf_2016_grand_total","trans_2016_grand_total","ftf_2016_percent","trans_2016_percent","ACT_MidRange_2016","urm_percent_ug_2016","minority_percent_ug_2016","urm_percent_ftf_2016","minority_percent_ftf_2016","retenratt_1styr_2016","gradrate_6yr_2016","percent_instate_2016","percent_oostate_2016","percent_foreign_2016","percent_ftf_pell_2015","percent_ug_pell_2015","State","PEER","ASP","IN.STATE","SEC","PublicPrivate","City"
100858,"Auburn University","Auburn",10696,30458,28840,48602,22658,4529,1226,78.6967854039965,21.3032145960035,27,9.83317150675258,19.1941036278577,9.22941046588651,16.4274674321042,91,71,59.3287701479355,38.9710752925591,1.70015455950541,13,15,"Alabama","Peer","","","SEC","Public","Auburn"
219602,"Austin Peay State University","Austin Peay St",7689,23488,22929,38728,9513,1963,913,68.2545201668985,31.7454798331015,21.5,27.3520445705876,38.4946914748239,30.412633723892,41.6709118695874,66,37,93.428425878757,NA,NA,55,51,"Tennessee","","","In-State","","Public","Clarksville"
217882,"Clemson University","Clemson ",14708,28662,34590,48544,18599,3684,1426,72.0939334637965,27.9060665362035,28.5,10.2908758535405,17.0546803591591,11.4549402823018,18.3224755700326,92,82,61.9435396308361,37.5950054288816,0.461454940282302,16,17,"South Carolina","Peer","","","","Public","Clemson"
220075,"East Tennessee State University","East Tennessee State U.",8341,23083,25573,40315,11065,1886,1027,64.7442499141778,35.2557500858222,23,8.4139177586986,18.0840488025305,11.2937433722163,17.9215270413574,71,43,81.9194061505832,16.3308589607635,1.74973488865323,44,40,"Tennessee","","","In-State","","Public","Johnson City"
153603,"Iowa State University","Iowa St",8219,20000,21583,33364,30671,6325,1871,77.1717911176184,22.8282088823817,25,7.63913794789867,25.8843859019921,8.56916996047431,25.6284584980237,88,69,53.4387351778656,41.4387351778656,5.12252964426877,19,21,"Iowa","Peer","","","","Public","Ames"
159391,"Louisiana State University and Agricultural & Mechanical College","LSU",10814,28934,27491,45611,26118,5475,784,87.4740373861639,12.5259626138361,25.5,18.2670954897006,27.7126885672716,19.8356164383562,27.3607305936073,83,65,80.8949771689498,18.0456621004566,1.05936073059361,24,21,"Louisiana","Peer","","","SEC","Public","Baton Rouge"
220978,"Middle Tennessee State University","Middle Tennessee St",8280,22228,25416,39364,19693,2893,1865,60.8028583438419,39.1971416561581,22,25.5928502513583,36.3225511603108,30.1762875907363,41.168337366056,75,46,88.7314206705842,8.43415139993087,2.83442792948496,49,42,"Tennessee","","","In-State","","Public","Murfreesboro"
176080,"Mississippi State University","Miss State",7780,23582,20900,36702,18090,3624,1832,66.4222873900293,33.5777126099707,24.5,23.4660033167496,28.5737976782753,26.0761589403974,31.1810154525386,80,60,58.8576158940397,40.2869757174393,0.855408388520971,34,32,"Mississippi","","","","SEC","Public","Mississippi"
199193,"North Carolina State University at Raleigh","NC State",8880,23039,26399,40558,23827,4388,1224,78.1895937277263,21.8104062722737,28.5,10.7692953372225,28.4551139463634,9.82224247948952,30.0364630811304,93,76,83.7967183226983,11.3035551504102,4.89972652689152,19,21,"North Carolina","Peer","","","","Public","Raleigh"
221838,"Tennessee State University","Tennessee State U.",7256,20221,19976,32941,7014,1307,524,71.3817586018569,28.6182413981431,NA,72.1984602224123,86.7408041060736,86.2280030604438,93.2670237184392,56,40,54.4758990053558,43.840856924254,1.68324407039021,70,59,"Tennessee","","","In-State","","Public","Nashville"
221847,"Tennessee Technological University","Tennessee Technological U.",8203,25253,24067,41117,9438,1608,716,69.1910499139415,30.8089500860585,24,6.728120364484,18.2347955075228,8.02238805970149,19.092039800995,79,49,93.407960199005,3.60696517412935,2.98507462686567,37,34,"Tennessee","","","In-State","","Public","Cookeville"
228723,"Texas A & M University-College Station","Texas A & M ",11036,28278,31214,48456,50735,10145,2695,79.0109034267913,20.9890965732087,27,25.6844387503696,37.0119247068099,27.5899457861015,39.9112863479547,91,79,93.790044356826,5.00739280433711,1.20256283883687,24,22,"Texas","","","","SEC","Public","College Station"
100751,"University of Alabama","Alabama",10470,28836,26950,45316,32563,7559,1478,83.6450149385858,16.3549850614142,27,14.7467985136505,22.0280686668919,13.2821801825638,19.4470168011642,86,66,31.9089826696653,67.3237200687922,0.767297261542532,18,19,"Alabama","Peer","","","SEC","Public","Tuscaloosa"
221740,"University of Tennessee-Chattanooga","UT-Chattanooga",8544,22644,24662,38762,10170,2077,816,71.7939854821984,28.2060145178016,23.5,14.3756145526057,23.4316617502458,13.91429947039,21.8103033220992,74,40,95.5223880597015,3.61097737120847,0.866634569090034,31,35,"Tennessee","","","In-State","","Public","Chattanooga"
221759,"University of Tennessee-Knoxville","UT-Knoxville",12724,30226,31144,48646,22139,4851,1367,78.0154390479254,21.9845609520746,27,10.316635801075,21.5456886038213,10.5132962275819,21.6862502576788,86,69,82.0449391877963,16.470830756545,1.48423005565863,28,29,"Tennessee","Peer","ASP","In-State","SEC","Public","Knoxville"
221768,"University of Tennessee-Martin","UT-Martin",9088,20446,14848,26206,6279,946,416,69.4566813509545,30.5433186490455,22.5,16.0853639114509,22.232839624144,12.7906976744186,18.6046511627907,75,47,89.7463002114165,8.45665961945032,1.79704016913319,47,46,"Tennessee","","","In-State","","Public","Martin"
