UnitID,Institution Name,ACT Composite 25th percentile score (ADM2016),ACT Composite 75th percentile score (ADM2016),ACT Composite 25th percentile score (ADM2015),ACT Composite 75th percentile score (ADM2015),ACT Composite 25th percentile score (ADM2014),ACT Composite 75th percentile score (ADM2014),ACT Composite 25th percentile score (IC2013),ACT Composite 75th percentile score (IC2013),ACT Composite 25th percentile score (IC2012),ACT Composite 75th percentile score (IC2012),ACT Composite 25th percentile score (IC2011),ACT Composite 75th percentile score (IC2011),ACT Composite 25th percentile score (IC2010),ACT Composite 75th percentile score (IC2010)
104151,Arizona State University-Tempe,22,28,23,28,22,28,22,28,21,27,21,27,20,26
100858,Auburn University,24,30,24,30,24,30,24,30,24,30,24,30,24,30
219602,Austin Peay State University,19,24,19,24,19,24,19,24,19,23,19,23,19,23
217882,Clemson University,26,31,27,31,26,31,26,31,25,30,26,30,25,30
126818,Colorado State University-Fort Collins,23,28,22,28,22,27,22,27,22,27,22,27,22,27
220075,East Tennessee State University,20,26,20,26,19,25,19,25,19,25,19,24,19,24
134097,Florida State University,25,29,25,29,26,29,25,29,25,29,25,28,24,28
139755,Georgia Institute of Technology-Main Campus,30,34,30,33,30,33,28,32,28,32,27,32,27,31
151351,Indiana University-Bloomington,24,30,24,30,24,30,24,30,24,29,24,29,24,29
153603,Iowa State University,22,28,22,28,21,29,22,28,22,28,22,28,22,28
159391,Louisiana State University and Agricultural & Mechanical College,23,28,23,28,23,28,23,28,23,28,23,28,23,28
171100,Michigan State University,24,29,23,28,23,28,23,28,23,28,23,28,23,28
220978,Middle Tennessee State University,19,25,19,25,19,25,19,24,19,24,19,24,20,24
176080,Mississippi State University,21,28,21,29,21,28,20,28,20,27,20,27,20,26
199193,North Carolina State University at Raleigh,26,31,26,31,26,30,25,30,23,28,23,28,23,28
204796,Ohio State University-Main Campus,27,31,27,31,27,31,27,31,26,30,26,30,26,30
214777,Pennsylvania State University-Main Campus,25,29,25,29,25,29,25,29,25,29,25,29,25,29
243780,Purdue University-Main Campus,25,31,25,31,24,30,24,30,24,30,24,30,23,29
186380,Rutgers University-New Brunswick,,,,,,,,,,,,,,
196097,Stony Brook University,26,31,26,31,26,30,26,30,25,29,25,29,25,29
221838,Tennessee State University,,,,,,,,,,,,,,
221847,Tennessee Technological University,21,27,21,27,21,27,20,26,21,26,20,26,20,26
228723,Texas A & M University-College Station,24,30,25,30,24,30,23,29,24,30,24,30,24,30
100751,The University of Alabama,23,31,22,31,22,31,22,30,22,30,22,29,22,29
221740,The University of Tennessee-Chattanooga,21,26,21,26,21,26,21,25,21,25,21,25,21,25
221759,The University of Tennessee-Knoxville,24,30,24,30,24,29,24,29,24,29,24,29,24,29
221768,The University of Tennessee-Martin,20,25,20,25,20,25,20,25,19,24,20,24,20,24
228778,The University of Texas at Austin,26,32,26,32,26,32,25,31,25,31,25,31,25,31
196088,University at Buffalo,24,29,24,29,24,29,23,28,24,28,23,28,23,28
104179,University of Arizona,,,,,,,21,27,21,27,,,21,27
106397,University of Arkansas,23,29,23,28,23,28,23,28,23,28,23,28,23,28
110635,University of California-Berkeley,31,34,30,34,29,34,27,33,27,33,27,32,26,32
110644,University of California-Davis,25,31,25,31,25,31,23,29,23,30,23,29,23,29
110653,University of California-Irvine,24,30,24,29,23,29,21,27,21,27,23,28,23,28
