UnitID,Institution Name,First-time degree/certificate-seeking undergraduate students (EF2016C  All first-time degree/certificate seeking undergraduates  total),First-time degree/certificate-seeking undergraduate students (EF2016C  US total),First-time degree/certificate-seeking undergraduate students (EF2016C  Outlying areas total),First-time degree/certificate-seeking undergraduate students (EF2016C  Foreign countries),First-time degree/certificate-seeking undergraduate students (EF2016C  Residence not reported),First-time degree/certificate-seeking undergraduate students (EF2016C  Alabama),First-time degree/certificate-seeking undergraduate students (EF2016C  Alaska),First-time degree/certificate-seeking undergraduate students (EF2016C  Arizona),First-time degree/certificate-seeking undergraduate students (EF2016C  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2016C  California),First-time degree/certificate-seeking undergraduate students (EF2016C  Colorado),First-time degree/certificate-seeking undergraduate students (EF2016C  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2016C  Delaware),First-time degree/certificate-seeking undergraduate students (EF2016C  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2016C  Florida),First-time degree/certificate-seeking undergraduate students (EF2016C  Georgia),First-time degree/certificate-seeking undergraduate students (EF2016C  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2016C  Idaho),First-time degree/certificate-seeking undergraduate students (EF2016C  Illinois),First-time degree/certificate-seeking undergraduate students (EF2016C  Indiana),First-time degree/certificate-seeking undergraduate students (EF2016C  Iowa),First-time degree/certificate-seeking undergraduate students (EF2016C  Kansas),First-time degree/certificate-seeking undergraduate students (EF2016C  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2016C  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2016C  Maine),First-time degree/certificate-seeking undergraduate students (EF2016C  Maryland),First-time degree/certificate-seeking undergraduate students (EF2016C  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2016C  Michigan),First-time degree/certificate-seeking undergraduate students (EF2016C  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2016C  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2016C  Missouri),First-time degree/certificate-seeking undergraduate students (EF2016C  Montana),First-time degree/certificate-seeking undergraduate students (EF2016C  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2016C  Nevada),First-time degree/certificate-seeking undergraduate students (EF2016C  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2016C  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2016C  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2016C  New York),First-time degree/certificate-seeking undergraduate students (EF2016C  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2016C  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2016C  Ohio),First-time degree/certificate-seeking undergraduate students (EF2016C  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2016C  Oregon),First-time degree/certificate-seeking undergraduate students (EF2016C  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2016C  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2016C  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2016C  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2016C  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2016C  Texas),First-time degree/certificate-seeking undergraduate students (EF2016C  Utah),First-time degree/certificate-seeking undergraduate students (EF2016C  Vermont),First-time degree/certificate-seeking undergraduate students (EF2016C  Virginia),First-time degree/certificate-seeking undergraduate students (EF2016C  Washington),First-time degree/certificate-seeking undergraduate students (EF2016C  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2016C  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2016C  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2016C  State unknown),First-time degree/certificate-seeking undergraduate students (EF2016C  American Samoa),First-time degree/certificate-seeking undergraduate students (EF2016C  Federated States of Micronesia),First-time degree/certificate-seeking undergraduate students (EF2016C  Guam),First-time degree/certificate-seeking undergraduate students (EF2016C  Marshall Islands),First-time degree/certificate-seeking undergraduate students (EF2016C  Northern Marianas),First-time degree/certificate-seeking undergraduate students (EF2016C  Palau),First-time degree/certificate-seeking undergraduate students (EF2016C  Puerto Rico),First-time degree/certificate-seeking undergraduate students (EF2016C  Virgin Islands),First-time degree/certificate-seeking undergraduate students (EF2014C  All first-time degree/certificate seeking undergraduates  total),First-time degree/certificate-seeking undergraduate students (EF2014C  US total),First-time degree/certificate-seeking undergraduate students (EF2014C  Outlying areas total),First-time degree/certificate-seeking undergraduate students (EF2014C  Foreign countries),First-time degree/certificate-seeking undergraduate students (EF2014C  Residence not reported),First-time degree/certificate-seeking undergraduate students (EF2014C  Alabama),First-time degree/certificate-seeking undergraduate students (EF2014C  Alaska),First-time degree/certificate-seeking undergraduate students (EF2014C  Arizona),First-time degree/certificate-seeking undergraduate students (EF2014C  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2014C  California),First-time degree/certificate-seeking undergraduate students (EF2014C  Colorado),First-time degree/certificate-seeking undergraduate students (EF2014C  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2014C  Delaware),First-time degree/certificate-seeking undergraduate students (EF2014C  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2014C  Florida),First-time degree/certificate-seeking undergraduate students (EF2014C  Georgia),First-time degree/certificate-seeking undergraduate students (EF2014C  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2014C  Idaho),First-time degree/certificate-seeking undergraduate students (EF2014C  Illinois),First-time degree/certificate-seeking undergraduate students (EF2014C  Indiana),First-time degree/certificate-seeking undergraduate students (EF2014C  Iowa),First-time degree/certificate-seeking undergraduate students (EF2014C  Kansas),First-time degree/certificate-seeking undergraduate students (EF2014C  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2014C  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2014C  Maine),First-time degree/certificate-seeking undergraduate students (EF2014C  Maryland),First-time degree/certificate-seeking undergraduate students (EF2014C  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2014C  Michigan),First-time degree/certificate-seeking undergraduate students (EF2014C  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2014C  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2014C  Missouri),First-time degree/certificate-seeking undergraduate students (EF2014C  Montana),First-time degree/certificate-seeking undergraduate students (EF2014C  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2014C  Nevada),First-time degree/certificate-seeking undergraduate students (EF2014C  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2014C  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2014C  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2014C  New York),First-time degree/certificate-seeking undergraduate students (EF2014C  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2014C  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2014C  Ohio),First-time degree/certificate-seeking undergraduate students (EF2014C  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2014C  Oregon),First-time degree/certificate-seeking undergraduate students (EF2014C  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2014C  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2014C  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2014C  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2014C  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2014C  Texas),First-time degree/certificate-seeking undergraduate students (EF2014C  Utah),First-time degree/certificate-seeking undergraduate students (EF2014C  Vermont),First-time degree/certificate-seeking undergraduate students (EF2014C  Virginia),First-time degree/certificate-seeking undergraduate students (EF2014C  Washington),First-time degree/certificate-seeking undergraduate students (EF2014C  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2014C  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2014C  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2014C  State unknown),First-time degree/certificate-seeking undergraduate students (EF2014C  American Samoa),First-time degree/certificate-seeking undergraduate students (EF2014C  Federated States of Micronesia),First-time degree/certificate-seeking undergraduate students (EF2014C  Guam),First-time degree/certificate-seeking undergraduate students (EF2014C  Marshall Islands),First-time degree/certificate-seeking undergraduate students (EF2014C  Northern Marianas),First-time degree/certificate-seeking undergraduate students (EF2014C  Palau),First-time degree/certificate-seeking undergraduate students (EF2014C  Puerto Rico),First-time degree/certificate-seeking undergraduate students (EF2014C  Virgin Islands),First-time degree/certificate-seeking undergraduate students (EF2012C  All first-time degree/certificate seeking undergraduates  total),First-time degree/certificate-seeking undergraduate students (EF2012C  US total),First-time degree/certificate-seeking undergraduate students (EF2012C  Outlying areas total),First-time degree/certificate-seeking undergraduate students (EF2012C  Foreign countries),First-time degree/certificate-seeking undergraduate students (EF2012C  Residence not reported),First-time degree/certificate-seeking undergraduate students (EF2012C  Alabama),First-time degree/certificate-seeking undergraduate students (EF2012C  Alaska),First-time degree/certificate-seeking undergraduate students (EF2012C  Arizona),First-time degree/certificate-seeking undergraduate students (EF2012C  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2012C  California),First-time degree/certificate-seeking undergraduate students (EF2012C  Colorado),First-time degree/certificate-seeking undergraduate students (EF2012C  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2012C  Delaware),First-time degree/certificate-seeking undergraduate students (EF2012C  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2012C  Florida),First-time degree/certificate-seeking undergraduate students (EF2012C  Georgia),First-time degree/certificate-seeking undergraduate students (EF2012C  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2012C  Idaho),First-time degree/certificate-seeking undergraduate students (EF2012C  Illinois),First-time degree/certificate-seeking undergraduate students (EF2012C  Indiana),First-time degree/certificate-seeking undergraduate students (EF2012C  Iowa),First-time degree/certificate-seeking undergraduate students (EF2012C  Kansas),First-time degree/certificate-seeking undergraduate students (EF2012C  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2012C  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2012C  Maine),First-time degree/certificate-seeking undergraduate students (EF2012C  Maryland),First-time degree/certificate-seeking undergraduate students (EF2012C  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2012C  Michigan),First-time degree/certificate-seeking undergraduate students (EF2012C  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2012C  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2012C  Missouri),First-time degree/certificate-seeking undergraduate students (EF2012C  Montana),First-time degree/certificate-seeking undergraduate students (EF2012C  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2012C  Nevada),First-time degree/certificate-seeking undergraduate students (EF2012C  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2012C  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2012C  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2012C  New York),First-time degree/certificate-seeking undergraduate students (EF2012C  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2012C  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2012C  Ohio),First-time degree/certificate-seeking undergraduate students (EF2012C  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2012C  Oregon),First-time degree/certificate-seeking undergraduate students (EF2012C  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2012C  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2012C  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2012C  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2012C  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2012C  Texas),First-time degree/certificate-seeking undergraduate students (EF2012C  Utah),First-time degree/certificate-seeking undergraduate students (EF2012C  Vermont),First-time degree/certificate-seeking undergraduate students (EF2012C  Virginia),First-time degree/certificate-seeking undergraduate students (EF2012C  Washington),First-time degree/certificate-seeking undergraduate students (EF2012C  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2012C  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2012C  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2012C  State unknown),First-time degree/certificate-seeking undergraduate students (EF2012C  American Samoa),First-time degree/certificate-seeking undergraduate students (EF2012C  Federated States of Micronesia),First-time degree/certificate-seeking undergraduate students (EF2012C  Guam),First-time degree/certificate-seeking undergraduate students (EF2012C  Marshall Islands),First-time degree/certificate-seeking undergraduate students (EF2012C  Northern Marianas),First-time degree/certificate-seeking undergraduate students (EF2012C  Palau),First-time degree/certificate-seeking undergraduate students (EF2012C  Puerto Rico),First-time degree/certificate-seeking undergraduate students (EF2012C  Virgin Islands)
104151,Arizona State University-Tempe,8230,7552,,676,2,6,13,4880,3,795,115,19,4,1,40,26,36,29,198,32,19,24,11,6,2,39,40,44,80,3,40,9,10,73,11,74,81,69,22,10,50,6,46,83,6,10,21,17,178,17,1,46,122,,70,7,8,,,,,,,,,7647,6858,,789,,1,14,4428,6,766,143,27,2,2,31,27,21,23,168,28,20,9,7,5,7,26,39,32,86,2,31,17,9,69,24,76,53,71,23,8,48,3,52,62,7,4,7,11,146,21,4,29,89,1,59,6,8,,,,,,,,,9265,8753,2,510,,,17,5893,1,1178,117,35,5,,35,23,20,21,166,21,17,14,4,3,4,34,48,42,59,3,23,11,17,80,12,89,43,77,19,5,51,6,53,72,3,4,6,13,124,25,3,28,145,1,69,7,7,,,1,,,,1,
100858,Auburn University,4529,4452,,77,,2687,1,7,4,39,15,17,3,,258,626,1,3,57,11,3,,22,17,1,44,12,6,7,12,14,1,,,3,32,,11,83,,23,2,,27,,56,,148,122,,,60,7,2,8,,,,,,,,,,,4592,4552,,40,,2757,,5,7,67,14,15,1,,271,635,4,2,49,7,2,3,21,15,1,33,15,6,2,13,6,,2,,5,29,1,23,62,1,21,4,1,24,4,43,1,145,145,1,1,70,8,3,3,2,2,,,,,,,,,3762,3726,,36,,2293,1,1,1,28,15,7,1,,193,508,,,31,6,5,3,18,13,,32,13,3,5,10,11,1,1,3,3,31,,10,48,,23,,2,25,2,22,,159,121,,2,63,5,3,4,,,,,,,,,,
219602,Austin Peay State University,1963,1963,,,,5,,3,,3,1,1,,,5,15,1,,9,3,,,34,,,2,,4,1,3,2,,,,,2,2,1,1,,10,,,,,,,1834,1,,,4,,,1,,15,,,,,,,,,1494,1489,,5,,2,,1,1,3,,,,1,5,7,1,11,5,,,27,,,,,,8,,1,4,,,,,1,,1,,,3,,1,,,,,1377,1,,,3,2,,1,,22,,,,,,,,,1522,1519,1,2,,5,,,,2,4,,,,4,3,,,1,1,1,2,31,,1,2,,,,2,3,,,1,,,,,2,,4,2,,,,,,1420,1,,,1,2,,,,24,1,,,,,,,
217882,Clemson University,3684,3666,1,17,,15,1,1,,29,18,39,8,1,65,160,2,,50,11,,3,16,6,2,81,57,12,8,2,9,,2,,13,119,,89,224,,42,6,1,72,10,2282,,38,46,2,2,104,3,4,4,,7,,,,,,,,1,3475,3458,,17,,10,1,1,1,24,9,48,4,1,56,143,,,46,4,2,2,11,1,4,99,69,11,7,1,7,,1,1,14,113,,58,249,,62,2,4,71,5,2104,,56,34,1,3,104,3,3,3,,5,,,,,,,,,3463,3421,,42,,6,,1,1,23,10,30,12,1,58,176,2,,40,7,1,1,7,6,3,99,70,6,6,3,6,,,1,15,122,1,30,246,,50,2,1,56,9,2114,,44,36,1,3,101,3,4,4,1,2,,,,,,,,
126818,Colorado State University-Fort Collins,4942,4927,2,13,,3,11,38,2,260,3784,13,2,1,17,15,14,12,92,16,6,21,2,5,4,22,29,9,42,1,25,3,19,21,7,23,39,23,9,5,14,13,16,23,2,3,10,5,124,15,5,19,54,1,15,13,,,,,,,,2,,4362,4342,1,18,1,1,15,37,3,213,3319,12,2,,25,5,25,7,91,11,4,22,1,3,2,12,21,21,39,1,25,9,12,17,10,12,41,16,7,7,15,8,19,23,2,5,9,2,97,16,4,17,45,1,23,8,,,,,,,,1,,4544,4525,1,17,1,1,16,39,2,197,3571,9,,1,12,11,31,9,92,6,5,18,1,2,4,14,12,7,38,1,17,4,15,26,10,14,41,10,8,4,18,6,16,16,2,3,11,5,107,11,1,18,41,,11,11,,,,,,,,1,
220075,East Tennessee State University,1886,1853,,33,,2,,,,1,,,,,15,10,,,2,3,,1,4,2,,,,1,,,,,,,,,,6,140,,11,,,3,,11,,1545,2,,1,91,,1,1,,,,,,,,,,,2055,2019,,36,,1,1,1,,1,,,1,,9,9,,,3,1,1,,3,1,2,2,,3,3,1,,1,,,2,2,,,114,,9,,,7,,7,,1741,3,,,85,1,3,1,,,,,,,,,,,2082,2054,,28,,3,,,,2,3,3,1,,7,7,,,7,1,,1,5,,,7,3,3,2,1,2,,,1,2,3,,,93,1,3,,,2,,5,,1777,1,,,102,,4,2,,,,,,,,,,
134097,Florida State University,6190,6059,,131,,15,1,1,4,10,14,13,3,1,5290,147,,2,23,7,3,3,7,9,3,39,26,9,6,3,11,1,3,1,4,78,1,79,35,,25,2,2,32,4,18,,21,20,1,2,51,7,1,6,1,14,,,,,,,,,5994,5865,1,128,,10,,,6,12,11,15,2,2,5152,125,,1,35,6,2,1,5,6,3,47,11,12,6,5,8,2,,2,2,69,,85,33,,19,2,1,32,4,12,,19,27,1,,45,4,,7,2,14,,,,,,,1,,5712,5581,,131,,9,3,1,,13,8,11,2,1,5097,102,,,20,5,3,3,2,4,2,33,12,4,4,3,7,1,,2,5,39,1,22,20,1,7,1,1,29,3,9,,7,31,,,28,4,2,9,,10,,,,,,,,
139755,Georgia Institute of Technology-Main Campus,2877,2614,9,254,,20,1,8,1,71,16,33,7,3,148,1540,1,,46,7,,6,6,8,3,53,42,7,8,3,8,,2,,8,87,2,69,62,,37,2,2,57,5,14,,46,57,3,2,62,17,4,6,,24,,,,,,,6,3,2809,2541,10,258,,20,,9,2,70,14,26,4,3,169,1491,2,1,51,8,2,1,9,9,3,46,45,6,6,5,12,,1,3,2,71,2,59,51,1,27,,8,49,1,31,1,35,61,,2,66,14,2,7,2,31,,,,,,,10,,3044,2602,18,424,,22,2,17,,57,21,25,7,8,168,1552,1,,31,2,1,4,14,5,2,49,37,9,8,5,14,,3,3,11,79,,44,53,,32,1,7,44,,24,,56,72,,1,59,12,,5,,35,,,1,,,,17,
151351,Indiana University-Bloomington,7673,7001,1,671,,1,,9,3,192,40,69,1,6,111,38,3,,901,4346,7,14,29,3,2,56,55,108,42,3,80,,3,7,4,203,,154,18,,161,5,,84,2,8,,31,78,2,2,39,16,,38,,27,,,,,,,1,,7718,7086,,632,,5,1,14,2,230,23,54,1,4,89,35,1,,1016,4407,3,25,38,1,5,53,46,82,51,1,,71,9,5,2,159,1,163,17,,188,2,3,65,1,7,1,27,64,3,2,40,6,1,43,2,17,,,,,,,,,7613,6899,1,713,,6,,5,,142,9,34,4,,67,1,1,1,917,4681,4,10,50,3,,61,31,58,47,2,77,,6,5,1,116,,147,11,,151,1,2,58,2,2,,22,62,2,1,37,3,1,29,1,28,,,,,,,1,
153603,Iowa State University,6325,5963,38,324,,2,,6,3,44,34,4,1,1,16,4,,1,1017,22,3380,33,,,1,10,6,21,816,,68,,83,4,1,9,1,7,5,5,17,4,2,14,1,1,23,3,61,1,3,11,4,,200,,13,,,,,,,38,,6041,5727,22,292,,2,,6,4,41,32,5,1,2,9,3,,2,853,11,3509,23,3,,3,7,5,14,705,,54,,111,2,1,11,1,13,3,2,12,4,1,9,,1,27,2,75,,,11,6,,128,,13,,,,,,,20,2,5366,5084,32,250,,,,3,,29,29,3,,2,7,2,5,1,682,10,3251,20,,,1,2,3,16,624,,45,2,85,2,3,1,,4,2,3,7,4,,8,,1,20,3,56,,1,7,11,1,122,1,5,,,,,,,32,
159391,Louisiana State University and Agricultural & Mechanical College,5475,5416,1,58,,36,,5,11,41,14,7,5,2,56,106,,1,27,2,1,,9,4429,1,21,15,1,3,47,13,,2,1,2,26,1,10,19,,13,1,1,12,2,14,,23,394,3,,26,2,,3,,8,1,,,,,,,,5655,5573,1,81,,30,2,3,9,41,12,7,,1,60,102,2,1,30,7,1,5,9,4553,,27,13,6,1,46,9,1,1,3,3,18,5,19,11,,12,3,2,9,3,7,,26,418,2,,33,4,1,7,2,6,,,,,,,1,,5725,5657,1,67,,32,1,5,8,37,14,5,2,,81,96,,1,27,1,,5,9,4501,,13,7,8,3,40,22,2,2,4,1,21,2,11,17,,7,5,5,16,3,2,,31,550,,1,42,,2,6,,9,,,,,,,1,
171100,Michigan State University,8190,7060,3,1127,,2,1,9,3,126,11,34,1,1,41,9,4,,365,37,1,4,7,,2,26,39,5753,14,,16,1,5,3,5,92,2,90,16,1,106,,4,52,3,2,1,4,77,,2,34,9,1,32,11,1,,,,,,,,3,8055,6813,4,1238,,3,4,5,2,95,8,21,,1,52,18,3,1,335,28,1,5,7,2,1,28,28,5758,15,,8,,2,3,2,53,2,64,8,,64,2,,54,3,4,1,4,49,2,2,22,8,,23,12,,,,,,,,4,,8354,7069,3,1282,,2,,6,1,56,12,18,2,5,34,12,2,1,303,26,5,3,3,,2,21,19,6135,18,2,8,,3,3,4,54,1,50,9,,82,,4,30,2,4,,8,50,1,3,23,7,2,22,8,3,,,1,,,,2,
220978,Middle Tennessee State University,2893,2810,1,82,,23,,,7,6,2,1,1,1,15,83,,,10,5,1,3,24,3,1,3,2,2,1,6,3,,,1,,1,,4,1,,6,1,,1,,5,,2567,3,,1,12,,3,1,,,,,,,,,1,,2932,2846,,86,,7,,,6,3,2,,,,4,36,1,,11,3,,1,11,4,,5,2,3,2,5,1,,,1,2,2,,2,1,,9,,,4,,5,,2690,5,,,11,1,4,2,,,,,,,,,,,3120,3091,,29,,3,,,8,9,,2,,,5,39,,,5,2,3,,19,2,2,5,,2,1,3,1,,1,,1,2,,4,4,,5,3,,2,,3,,2929,7,,,16,1,,1,1,,,,,,,,,
176080,Mississippi State University,3624,3592,1,31,,365,1,1,38,11,6,2,1,,98,196,,,37,6,,3,5,72,2,9,2,3,2,2133,42,,2,,2,4,2,8,26,,8,3,2,10,,20,,328,111,1,1,16,3,,10,,,,,1,,,,,,2974,2943,1,30,,266,1,,30,7,,3,1,,60,139,,,23,1,4,4,6,40,,10,3,6,1,1820,18,,2,1,4,7,,6,14,,11,1,1,4,1,16,1,304,88,,,31,3,,4,1,,,,,,,,1,,2894,2864,1,29,,239,,2,16,5,2,2,4,,28,133,1,1,15,4,1,,6,49,,9,2,3,4,1875,14,1,1,3,,9,,8,9,,6,2,,2,2,11,,300,61,1,,22,7,2,2,,,,,,,,,1,
199193,North Carolina State University at Raleigh,4388,4171,2,215,,5,,1,,20,2,11,3,14,24,25,,2,11,4,1,1,2,2,1,53,24,3,5,1,3,,1,,3,37,,35,3677,1,16,,,46,4,21,1,7,15,1,3,76,4,2,3,,,,,,,,,2,,4499,4376,,123,,4,2,1,17,3,14,7,3,37,19,1,11,4,1,5,3,1,5,62,25,4,9,,4,1,1,2,7,36,4,50,1,18,3767,,4,58,2,21,,13,25,,1,106,5,6,3,1,,1,1,,,,,,,,,4398,4289,,109,,4,,1,19,2,18,5,,28,19,,11,3,1,2,2,2,5,68,19,8,3,,1,,2,1,8,32,1,43,,15,3727,1,4,67,3,24,1,9,14,1,2,100,3,2,4,,,1,3,,,,,,,,
204796,Ohio State University-Main Campus,7938,7086,3,849,,,1,7,4,90,19,46,3,2,43,38,4,,291,31,4,7,33,6,5,67,45,100,18,2,41,1,3,6,11,154,2,276,30,1,5289,,3,207,2,9,,25,49,4,3,56,4,17,24,,3,,,,,,,3,,7079,6515,6,554,4,6,1,5,2,92,9,46,9,2,55,27,4,2,220,53,2,6,28,4,3,79,36,98,18,3,22,1,2,6,7,134,2,203,28,1,4921,6,4,180,4,11,1,22,42,2,1,58,10,12,24,,1,,,,,1,,5,,7215,6626,6,583,,2,,6,4,88,13,25,3,2,26,22,2,,192,42,6,7,13,1,4,62,36,71,16,1,14,,2,5,7,68,4,129,16,,5428,1,3,123,5,7,1,19,54,2,2,56,7,13,15,,1,,,1,,,,4,1
214777,Pennsylvania State University-Main Campus,8499,7641,13,845,,3,,6,2,138,12,143,26,7,76,14,2,2,47,7,,,4,2,5,305,132,15,12,,7,,1,3,17,1022,1,612,30,2,44,3,7,4524,8,8,1,6,54,2,2,199,10,5,7,,106,,,,,,,13,,8183,7297,14,872,,6,1,8,3,107,12,148,26,10,68,16,1,1,50,1,3,3,3,1,5,302,106,19,11,,3,1,1,4,16,884,,482,20,,44,2,3,4567,6,5,1,8,51,1,5,195,7,2,7,,71,,,,,,,14,,7649,6890,14,745,,2,2,9,3,101,15,131,24,8,71,18,6,3,53,2,1,1,3,1,7,259,102,23,5,,2,,1,5,19,817,1,458,24,,53,1,1,4393,12,2,,3,37,2,3,135,6,4,4,1,56,,,,,,,13,1
