UnitID,Institution Name,State appropriations (F1516_F1A),Tuition and fees  after deducting discounts and allowances (F1516_F1A),State appropriations (F1415_F1A),Tuition and fees  after deducting discounts and allowances (F1415_F1A),State appropriations (F1314_F1A),Tuition and fees  after deducting discounts and allowances (F1314_F1A),State appropriations (F1213_F1A),Tuition and fees  after deducting discounts and allowances (F1213_F1A),State appropriations (F1112_F1A),Tuition and fees  after deducting discounts and allowances (F1112_F1A),State appropriations (F1011_F1A),Tuition and fees  after deducting discounts and allowances (F1011_F1A)
104151,Arizona State University-Tempe,281385000,1157535000,338042000,1021014000,314493000,896921000,297402000,802965000,307765000,757217000,380914000,639324000
100858,Auburn University,225286204,382336340,222838374,363014113,220424304,332881008,216653516,314028163,224952740,293827903,212897335,266244553
219602,Austin Peay State University,37922175,50648659,35174325,49851844,33940258,49371224,29449222,47397621,27213364,46634871,36864113,42625143
217882,Clemson University,108812383,341076940,106344796,316893164,99591087,300711230,92784135,288778074,88779884,269671074,91917068,252923930
126818,Colorado State University-Fort Collins,2143895,391162530,2355000,363593739,2472452,332374897,1753642,306238401,2450000,285492411,5700000,253877125
220075,East Tennessee State University,94013850,106483509,84045000,100940074,84615449,99148743,80453089,92743007,78140008,80653510,98631379,72354609
134097,Florida State University,395275957,253263255,361291258,251879420,331441022,245155020,220355427,225566615,285597961,199964139,313307962,171636456
139755,Georgia Institute of Technology-Main Campus,233201045,353571407,227216008,318573215,222083429,287203042,206883732,271444683,206511431,235003328,221854801,199963731
151351,Indiana University-Bloomington,216292326,731629809,211850535,705286278,205652914,680313029,203138828,654939232,210876779,638672230,243004839,603143013
153603,Iowa State University,251782168,329318063,250353637,319863216,248633453,300770229,231002395,274813892,225142946,249646862,236194441,222814970
159391,Louisiana State University and Agricultural & Mechanical College,220820583,323931476,217160961,308224959,220688448,288617254,237113721,251885267,252917491,228699791,253345138,201245544
171100,Michigan State University,268770666,830376148,264429100,796953689,249597800,753413221,245037000,697335878,241120800,640489833,283685200,568444780
220978,Middle Tennessee State University,86841313,129129037,83799712,128423342,82001392,125506525,78114161,121815670,74924252,122021025,100986209,110694573
176080,Mississippi State University,186393254,151637367,180278300,134396877,170656762,132792131,163001298,125773165,163687667,116087364,151649034,104995144
199193,North Carolina State University at Raleigh,502533982,291175319,481548424,270139559,473005231,254088086,484021602,242771900,466082225,217985451,478423298,197091556
204796,Ohio State University-Main Campus,434833544,846496789,416187680,811302294,419233915,776153156,410087614,777726949,405330442,752201351,412517277,690765617
214777,Pennsylvania State University-Main Campus,,,,,,,,,,,,
243780,Purdue University-Main Campus,304293360,645690966,305080282,624529024,299725746,604261079,285040013,606587948,302298674,581452557,301160820,533306643
186380,Rutgers University-New Brunswick,692086000,645657000,680668000,654304000,684235000,627046000,432901000,670592000,429327000,645328000,438156000,614003000
196097,Stony Brook University,470745983,244593192,455214819,216565759,408953548,186194593,359031670,168672430,404169900,159544536,419640532,143507337
221838,Tennessee State University,40222038,60304468,39211000,59061893,39729884,52489251,37689604,51136000,36275644,49297431,48744577,44445871
221847,Tennessee Technological University,43065488,59370858,42212912,61615023,43447084,56614556,41139922,47708612,39919418,39678873,53045786,31151267
228723,Texas A & M University-College Station,703469277,587601974,642587826,568219956,630839784,496890478,450542476,423158370,433859306,409810039,464563563,376045581
100751,The University of Alabama,148441872,476732091,146222914,452717202,144234844,419482065,140699910,386942854,145951239,348544084,137427195,288532882
221740,The University of Tennessee-Chattanooga,43501477,64193775,39321256,60937962,38342662,55929088,36355643,50271561,35477557,47550164,47506945,39647898
221759,The University of Tennessee-Knoxville,304088297,294005360,296797701,268584809,422009603,310383809,385372516,292506440,371546054,276971601,453018727,246742579
221768,The University of Tennessee-Martin,29039859,32441610,27396376,33036578,26724816,32242399,26531057,33547189,25522406,30298972,34160519,29654669
228778,The University of Texas at Austin,351171220,475047266,317546577,471983244,313996089,479746009,292300281,495148734,289350074,470200629,302655170,458288535
196088,University at Buffalo,429607940,281078287,413094614,251923446,422042546,247881018,395517807,215813849,415705211,195521209,421046072,184711138
104179,University of Arizona,265310000,608679000,294475000,554768000,287493000,484809000,274272000,461580000,287850000,410507000,349110000,379199000
