UnitID,Institution Name,6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_16),Full-time retention rate  2016 (EF2016D),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_15),Full-time retention rate  2015 (EF2015D),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_14),Full-time retention rate  2014 (EF2014D),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_13),Full-time retention rate  2013 (EF2013D),Graduation rate - bachelor's degree within 150% of normal time (6-years) (GR200_12),Full-time retention rate  2012 (EF2012D),Graduation rate - bachelor's degree within 150% of normal time (6-years) (GR200_11),Full-time retention rate  2011 (EF2011D),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_10),Full-time retention rate  2010 (EF2010D)
104151,Arizona State University-Tempe,63,86,59,86,58,86,58,84,59,80,56,84,56,84
100858,Auburn University,71,91,68,90,68,91,66,89,66,90,67,89,64,87
219602,Austin Peay State University,37,66,36,71,36,72,34,66,32,67,31,69,32,69
217882,Clemson University,82,92,83,93,82,92,80,92,76,91,77,90,79,89
126818,Colorado State University-Fort Collins,65,86,64,87,63,85,64,86,64,84,64,83,63,83
220075,East Tennessee State University,43,71,41,71,41,69,44,66,39,66,43,70,42,72
134097,Florida State University,79,93,77,93,75,92,74,92,74,91,71,92,70,92
139755,Georgia Institute of Technology-Main Campus,82,97,82,97,79,96,79,96,80,95,79,95,77,94
151351,Indiana University-Bloomington,78,91,77,89,75,89,72,90,71,88,74,89,73,90
153603,Iowa State University,69,88,68,87,71,86,68,87,70,86,70,88,68,86
159391,Louisiana State University and Agricultural & Mechanical College,65,83,67,85,65,85,60,82,59,83,59,84,59,84
171100,Michigan State University,79,91,78,92,79,92,77,91,77,91,77,91,75,91
220978,Middle Tennessee State University,46,75,46,73,45,71,45,68,46,70,46,70,45,73
176080,Mississippi State University,60,80,61,82,58,80,60,79,58,81,61,83,60,82
199193,North Carolina State University at Raleigh,76,93,74,93,71,93,72,93,73,92,73,89,72,88
204796,Ohio State University-Main Campus,83,94,83,94,82,94,80,92,78,92,75,93,73,93
214777,Pennsylvania State University-Main Campus,86,93,85,93,86,93,87,92,85,92,85,92,85,92
243780,Purdue University-Main Campus,73,91,70,92,70,92,68,91,69,90,70,90,72,88
186380,Rutgers University-New Brunswick,80,92,79,93,79,92,77,91,77,91,77,90,75,91
196097,Stony Brook University,69,89,66,90,70,89,67,90,65,90,67,92,62,88
221838,Tennessee State University,40,56,29,64,35,62,36,60,33,56,40,67,36,63
221847,Tennessee Technological University,49,79,51,75,52,76,50,75,48,70,53,73,47,76
